"Nino & Marinette"|"genderless"|"multiple"|"multiple"
"Nino and Alya"|"genderless"|"multiple"|"multiple"
"Nooroo"|"genderless"|"kwami"|"no_villain"
"Nora"|"female"|"friends_other"|"no_villain"
"Nora and Alya"|"genderless"|"multiple"|"multiple"
"Oblivio"|"male"|"friends_other"|"no_villain"
"Officer"|"male"|"friends_other"|"no_villain"
"Officer Roger"|"male"|"friends_other"|"no_villain"
"Ondine"|"female"|"friends_other"|"no_villain"
"Oni-Chan"|"female"|"villain"|"villain"
"Oni-Сhan"|"female"|"villain"|"villain"
"Orikko"|"genderless"|"kwami"|"no_villain"
"Otis"|"male"|"friends_other"|"no_villain"
"Otter kwami"|"genderless"|"kwami"|"no_villain"
"Owl kwami"|"genderless"|"kwami"|"no_villain"
"Paparazzi"|"genderless"|"friends_other"|"no_villain"
"Parisian"|"genderless"|"friends_other"|"no_villain"
"Parisian 1"|"genderless"|"friends_other"|"no_villain"
"Parisian 2"|"genderless"|"friends_other"|"no_villain"
"Parisian 3"|"genderless"|"friends_other"|"no_villain"
"Parisians"|"genderless"|"friends_other"|"no_villain"
"Party Crasher"|"male"|"villain"|"villain"
"Passenger"|"genderless"|"friends_other"|"no_villain"
"Passenger 1"|"genderless"|"friends_other"|"no_villain"
"Passenger 2"|"genderless"|"friends_other"|"no_villain"
"Passenger Jean-Pierre"|"female"|"friends_other"|"no_villain"
"Passenger Nicole"|"female"|"friends_other"|"no_villain"
"Past Alix"|"female"|"friends_other"|"no_villain"
"Past Ladybug"|"female"|"friends_other"|"no_villain"
"Past Marinette"|"female"|"friends_other"|"no_villain"
"Past Tikki"|"genderless"|"kwami"|"no_villain"
"Pegabug"|"female"|"friends_other"|"no_villain"
"Pegasus"|"female"|"friends_other"|"no_villain"
"Penalteam"|"genderless"|"friends_other"|"no_villain"
"Penalty"|"female"|"villain"|"villain"
"Penalty 1"|"female"|"friends_other"|"no_villain"
"Penalty 2"|"female"|"friends_other"|"no_villain"
"Penalty 3"|"female"|"friends_other"|"no_villain"
"Penalty 4"|"female"|"friends_other"|"no_villain"
"Penalty 5"|"female"|"friends_other"|"no_villain"
"Penalty 6"|"female"|"friends_other"|"no_villain"
"Penalty 7"|"female"|"friends_other"|"no_villain"
"Penalty clone"|"female"|"friends_other"|"no_villain"
"Penny"|"female"|"friends_other"|"no_villain"
"Penny Rolling"|"female"|"friends_other"|"no_villain"
"Pennybug"|"female"|"friends_other"|"no_villain"
"Person"|"genderless"|"friends_other"|"no_villain"
"Person on the helicopter"|"genderless"|"friends_other"|"no_villain"
"Pharaoh"|"male"|"villain"|"villain"
"Pharmacist"|"genderless"|"friends_other"|"no_villain"
"Philippe"|"male"|"friends_other"|"no_villain"
"Philippe and Cat Noir"|"genderless"|"multiple"|"multiple"
"Philippe and Ladybug"|"genderless"|"multiple"|"multiple"
"Phone"|"genderless"|"friends_other"|"no_villain"
"Phone Alarm"|"genderless"|"friends_other"|"no_villain"
"Pigella"|"female"|"friends_other"|"no_villain"
"Pilot"|"genderless"|"friends_other"|"no_villain"
"Pixelator"|"male"|"villain"|"villain"
"Pizza Delivery guy"|"male"|"friends_other"|"no_villain"
"Plagg"|"genderless"|"kwami"|"no_villain"
"Police"|"genderless"|"friends_other"|"no_villain"
"Pollen"|"genderless"|"kwami"|"no_villain"
"Polymouse"|"female"|"friends_other"|"no_villain"
"Polymouse, King Monkey and Purple Tigress"|"genderless"|"multiple"|"multiple"
"Post- Pegabug"|"female"|"friends_other"|"no_villain"
"Prime Queen"|"female"|"villain"|"villain"
"Prime Queen"|"female"|"villain"|"villain"
"Prince Ali"|"male"|"friends_other"|"no_villain"
"Prince Ali's chaperone"|"male"|"friends_other"|"no_villain"
"Princess Fragrance"|"female"|"villain"|"villain"
"Principal Damocles"|"male"|"friends_other"|"no_villain"
"Protesters"|"genderless"|"friends_other"|"no_villain"
"Psycomedian"|"male"|"villain"|"villain"
"Puppeteer"|"female"|"villain"|"villain"
"Puppeteer and Cat Noir"|"genderless"|"multiple"|"multiple"
"Purple Tigress"|"female"|"friends_other"|"no_villain"
"Qilin"|"female"|"villain"|"villain"
"Queen Banana"|"female"|"villain"|"villain"
"Queen Bee"|"female"|"friends_other"|"no_villain"
"Queen Wasp"|"female"|"villain"|"villain"
"Queen Wasp"|"female"|"villain"|"villain"
"Quentin's mother"|"female"|"friends_other"|"no_villain"
"Random Civilian"|"genderless"|"friends_other"|"no_villain"
"Raven kwami"|"genderless"|"kwami"|"no_villain"
"Receptionist"|"genderless"|"friends_other"|"no_villain"
"Recycling Man"|"male"|"friends_other"|"no_villain"
"Red Knight In Movie"|"male"|"friends_other"|"no_villain"
"Reflekta"|"female"|"villain"|"villain"
"Rena Furtive"|"female"|"friends_other"|"no_villain"
"Rena Rouge"|"female"|"villain"|"villain"
"Reporters"|"genderless"|"friends_other"|"no_villain"
"Reverser"|"female"|"villain"|"villain"
"Riposte"|"female"|"villain"|"villain"
"Risk"|"male"|"villain"|"villain"
"Roaar"|"genderless"|"kwami"|"no_villain"
"Robo Tech Ultimate Destructor"|"genderless"|"friends_other"|"no_villain"
"Robostus"|"genderless"|"villain"|"villain"
"Rocketear"|"male"|"villain"|"villain"
"Roger"|"male"|"friends_other"|"no_villain"
"Roger and Qilin"|"genderless"|"multiple"|"multiple"
"Roger Raincomprix"|"male"|"friends_other"|"no_villain"
"Rogercop"|"male"|"villain"|"villain"
"Rolland"|"male"|"friends_other"|"no_villain"
