"Ella and Etta"|0.451093077659607|0.646|"2"|"51"|"Catalyst"
"Frightningale"|-0.590706020593643|0|"2"|"51"|"Catalyst"
"Gabriel"|0.0559561351935069|0.1675|"2"|"51"|"Catalyst"
"Guitar Villain"|0.619814991950989|0|"2"|"51"|"Catalyst"
"Hawk Moth"|0.00364825129508972|0.140875|"2"|"51"|"Catalyst"
"Ivan"|0.0426169037818909|-0.2725|"2"|"51"|"Catalyst"
"Jagged"|-0.694829404354095|-0.477|"2"|"51"|"Catalyst"
"Juleka"|-0.755766302347183|-0.657|"2"|"51"|"Catalyst"
"Ladybug"|-0.0699198966224988|0.0545|"2"|"51"|"Catalyst"
"Lila"|-0.164243709709909|0.133944444444444|"2"|"51"|"Catalyst"
"Lila's Mother"|-0.371613448858261|0|"2"|"51"|"Catalyst"
"Little Girl"|-0.557653471827507|-0.124|"2"|"51"|"Catalyst"
"Marinette"|-0.0334605995951028|0.163793103448276|"2"|"51"|"Catalyst"
"Master Fu"|0.700364708900452|0.542|"2"|"51"|"Catalyst"
"Max"|0.603798389434814|0|"2"|"51"|"Catalyst"
"Miss Bustier"|0.374307429248636|0.437818181818182|"2"|"51"|"Catalyst"
"Miss Bustier's class"|-0.00766801834106445|0|"2"|"51"|"Catalyst"
"Mother"|-0.481606602668762|0.316|"2"|"51"|"Catalyst"
"Mr. Damocles"|0.0157598952452342|0.451|"2"|"51"|"Catalyst"
"Nadja"|-0.701963737607002|-0.0915|"2"|"51"|"Catalyst"
"Nathalie"|0.26963255405426|0.2002|"2"|"51"|"Catalyst"
"Nino"|-0.0509027143319448|0.0435555555555556|"2"|"51"|"Catalyst"
"Nora"|-0.27051305770874|-0.036|"2"|"51"|"Catalyst"
"Parisians"|-0.249290764331818|0|"2"|"51"|"Catalyst"
"Plagg"|-0.0584078629811605|0.114|"2"|"51"|"Catalyst"
"Pollen"|0.670453667640686|0.421|"2"|"51"|"Catalyst"
"Prime Queen"|0.374123334884644|0.625|"2"|"51"|"Catalyst"
"Queen Bee"|-0.501686349511147|-0.395|"2"|"51"|"Catalyst"
"Rena Rouge"|-0.325516899426778|-0.154666666666667|"2"|"51"|"Catalyst"
"Rose"|0.730410218238831|0.75|"2"|"51"|"Catalyst"
"Sabine"|0.132108569145203|0.529666666666667|"2"|"51"|"Catalyst"
"Sabrina"|-0.105243146419525|-0.0183333333333334|"2"|"51"|"Catalyst"
"Scarlet Moth"|-0.113917345801989|0.0981666666666667|"2"|"51"|"Catalyst"
"Tikki"|0.128738526787077|0.270714285714286|"2"|"51"|"Catalyst"
"Timebreaker"|0.261122941970825|0.359|"2"|"51"|"Catalyst"
"Tom"|0.101152002811432|0.375|"2"|"51"|"Catalyst"
"Trixx"|-0.00340324640274048|0|"2"|"51"|"Catalyst"
"Unknown Voice"|0.701044797897339|0.817|"2"|"51"|"Catalyst"
"Volpina"|0.04730024933815|0|"2"|"51"|"Catalyst"
"Adrien"|0.122859346515992|0.233176470588235|"3"|"55"|"Chameleon"
"Alix"|-0.281133830547333|0|"3"|"55"|"Chameleon"
"Alya"|-0.0773063898086548|0.168875|"3"|"55"|"Chameleon"
"Alya and Nino"|-0.612575769424438|0|"3"|"55"|"Chameleon"
"Bus Driver"|0.581879019737244|0.361|"3"|"55"|"Chameleon"
"Cat Noir"|-0.307626061141491|0.11925|"3"|"55"|"Chameleon"
"Chameleon"|-0.225718885660172|0.0716|"3"|"55"|"Chameleon"
"Civilian"|0.162123322486877|0|"3"|"55"|"Chameleon"
"Civilian 2"|-0.694294571876526|-0.296|"3"|"55"|"Chameleon"
"Class"|0.555766403675079|0.159|"3"|"55"|"Chameleon"
"Hawk Moth"|0.0182932184802161|0.179666666666667|"3"|"55"|"Chameleon"
"Ivan"|0.498378038406372|0.318|"3"|"55"|"Chameleon"
"Kim"|-0.316656892498334|-0.211|"3"|"55"|"Chameleon"
"Ladybug"|-0.041185084552992|0.173952380952381|"3"|"55"|"Chameleon"
"Lila"|-0.14718648744747|0.15846875|"3"|"55"|"Chameleon"
"Marinette"|-0.216762521953294|-0.0737272727272727|"3"|"55"|"Chameleon"
"Marinette and Lila"|-0.586760878562927|-0.359|"3"|"55"|"Chameleon"
"Max"|0.109994687139988|0.11875|"3"|"55"|"Chameleon"
